"";"nutrient";"mgL";"belowLimit"
"783";"PO4";0,02;TRUE
"784";"K";1;TRUE
"785";"Ca";53;FALSE
"786";"Mg";14;FALSE
"787";"SO4";21;FALSE
"788";"Fe";0,01;TRUE
"789";"Zn";NA;NA
"790";"Cu";0,001;TRUE
"791";"Mn";0,01;TRUE
"792";"B";NA;NA
"793";"Mo";NA;NA
"794";"Ni";0,002;TRUE
"795";"Na";2,6;FALSE
"796";"Cl";5,7;FALSE
"797";"Al";NA;NA
"798";"TOC";1,79;FALSE
"799";"NH4";0,01;TRUE
"800";"NO2";0,008;TRUE
"801";"NO3";3,5;FALSE
"802";"PO4";0,02;TRUE
"803";"K";1;TRUE
"804";"Ca";37;FALSE
"805";"Mg";7,4;FALSE
"806";"SO4";3,6;FALSE
"807";"Fe";0,01;TRUE
"808";"Zn";NA;NA
"809";"Cu";0,037;FALSE
"810";"Mn";0,01;TRUE
"811";"B";NA;NA
"812";"Mo";NA;NA
"813";"Ni";0,002;TRUE
"814";"Na";1;TRUE
"815";"Cl";1;TRUE
"816";"Al";NA;NA
"817";"TOC";0,94;FALSE
"818";"NH4";0,05;TRUE
"819";"NO2";0,05;TRUE
"820";"NO3";6,4;FALSE
"821";"PO4";0,04;TRUE
"822";"K";1,1;FALSE
"823";"Ca";80,5;FALSE
"824";"Mg";20,2;FALSE
"825";"SO4";16,8;FALSE
"826";"Fe";0,02;TRUE
"827";"Zn";0,2;TRUE
"828";"Cu";0,2;TRUE
"829";"Mn";0,005;TRUE
"830";"B";0,1;TRUE
"831";"Mo";NA;NA
"832";"Ni";0,002;TRUE
"833";"Na";5,4;FALSE
"834";"Cl";10,8;FALSE
"835";"Al";0,02;TRUE
"836";"TOC";0,3;FALSE
"837";"NH4";0,16;FALSE
"838";"NO2";0,025;FALSE
"839";"NO3";1,65;FALSE
"840";"PO4";0,07;FALSE
"841";"K";2,8;FALSE
"842";"Ca";91,6;FALSE
"843";"Mg";10,3;FALSE
"844";"SO4";10;FALSE
"845";"Fe";0,001;TRUE
"846";"Zn";NA;NA
"847";"Cu";0,01;TRUE
"848";"Mn";0,002;TRUE
"849";"B";NA;NA
"850";"Mo";NA;NA
"851";"Ni";0,002;TRUE
"852";"Na";15,5;FALSE
"853";"Cl";19;FALSE
"854";"Al";0,02;TRUE
"855";"TOC";2,4;FALSE
"856";"NH4";0,02;TRUE
"857";"NO2";0,005;TRUE
"858";"NO3";1,89;FALSE
"859";"PO4";0,04;FALSE
"860";"K";2,98;FALSE
"861";"Ca";106;FALSE
"862";"Mg";10,8;FALSE
"863";"SO4";48;FALSE
"864";"Fe";0,01;TRUE
"865";"Zn";NA;NA
"866";"Cu";0,01;TRUE
"867";"Mn";0,002;TRUE
"868";"B";NA;NA
"869";"Mo";NA;NA
"870";"Ni";0,002;TRUE
"871";"Na";47,4;FALSE
"872";"Cl";62;FALSE
"873";"Al";0,02;TRUE
"874";"TOC";2,3;FALSE
"875";"NH4";0,02;TRUE
"876";"NO2";0,11;FALSE
"877";"NO3";1,63;FALSE
"878";"PO4";0,16;FALSE
"879";"K";2,77;FALSE
"880";"Ca";66,5;FALSE
